 ,,,,,,,,,,,
"
Clave",Nombre de la herramienta,Instrucciones,Descripción,¿Qué evalúa?,Referencias,Grupo Etario,Población específica,Tiempo aplicativo,No. de ítems,CIE-11,LS
FINDRISC,FINDRISC,,,Diabetes Mellitus 2,¿Sabes que uno de cada dos diabéticos desconoce que lo es?1,A partir de 35 años,,-,8,5A11,Bienestar físico y nutricional
FRAIL,FRAIL,,,Fragilidad,Tests FrailSarcf_WEB_2,≥ 30,Población con sospecha clínica o que cumplan criterio de edad,-,5,MG2A,Bienestar físico
FSS,Cuestionarios de evaluación de fatiga,Lea y marque la respuesta que se ajuste con lo que ha sentido la ultima semana,"La escala de la severidad de la Fatiga evalua el impacto dque tiene la fatiga sobre usted , permitiendo evaluar el nivel de la fatiga .",Fatiga de pacientes con tratamientos constantes y personal de salud,https://www.elsevier.es/es-revista-educacion-medica-71-articulo-validacion-psicometrica-escala-gravedad-fatiga-S1575181318300652       https://www.thoracic.org/members/assemblies/assemblies/srn/questionaires/fss.php,≥18 años,Mayores de 18 años,≤10 minutos,9,MG22,Bienestar físico y mental
FTND,Test de Fagerström de Dependencia de Nicotina,"Haz el test y sabrás hasta qué punto eres adicto al tabaco, así como los métodos que se recomiendan en tu caso para ayudarte a dejar de fumar.",Instrumento diseñado para evaluar la dependencia de nicotina en personas adultas.,Dependencia de Nicotina,https://www.nicorette.es/como-dejar-de-fumar/test-fagerstrom https://pubmed.ncbi.nlm.nih.gov/28252508/ ,≥ 18 años ,Consumidores de cigarrillos,≤10 minutos,6,"6C4A.2, 6C4A.2Z, 6C4A.20",Bienestar físico y mental
GAD-7,Escala para el trastorno de ansiedad generalizada,,Instrumento ha sido creado para ser utilizado como como tamizaje en el trastorno de ansiedad generalizada.,Ansiedad,https://pubmed.ncbi.nlm.nih.gov/20089179/ ,A partir de los 18 años,,≤10 minutos,7,6B0,Bienestar mental
GASA,Game Addiction Scale for Adolescents,"El cuestionario GASA es generalmente autoadministrado y sigue un formato politético, lo que significa que la adicción se diagnostica si se cumplen un cierto número de criterios (ítems). ",Se aplica al comportamiento de juego en los últimos 6 meses,Adicción a los videojuegos en adolescentes,https://www.sciencedirect.com/science/article/pii/S0212656716303948,≥15 años,Adolescentes,≤5 minutos,7,6C51.Z,Bienestar social y mental
GDS,Escala de Depresión Geriátrica de Yesavage,,Instrumento diseñado para ser empleado en población anciana para detectar la posible presencia de depresión.,Depresión geriátrica,https://scielo.isciii.es/pdf/medif/v12n10/original2.pdf ,>60,Pacientes geriátricos,≤15 minutos,15,6A7,Bienestar mental
GOHAI,Geriatric/ General Oral Health Assesment Index (GOHAI),," Este cuestionario evalua la
percepción de calidad de vida relacionado con la salud oral en adultos
mayores","las necesidades clínicas y percibidas de
los adultos mayores",https://www.redalyc.org/pdf/4577/457745483020.pdf,50 años o más,Adulto mayor,≤10 minutos,12,DA08,Bienestar físico
HADS,Escala de Ansiedad y Depresión Hospitalaria,,Instrumento diseñado para detectar trastornos de ansiedad y depresión en servicios hospitalarios no psiquiátricos en pacientes que no estuvieran contaminados por la sintomatología de una enfermedad física. ,Ansiedad y depresión en pacientes con visitas constantes al hospital,https://www.redalyc.org/pdf/1339/133930525004.pdf,≥14 años,Población con tratamiento hospitalario,≤15 minutos,14,"6A7, 6B0",Bienestar mental
HHIE-S,Shortened Hearing Handicap Inventory for the Elderly,Lea y marque la respuesta que se ajuste con lo que ha sentido,,Impacto social y emocional de la hipoacusia,https://otorrino.org.mx/wp-content/uploads/2024/12/Otorrino4_24CONpublicidad.pdf,Apartir de los ,,,,,Bienestar social 
